"","Department","Expense_Category","TotalExpense","TotalBudget"
"1","ACCOUNTING AND GENERAL SERVICES","BUILDINGS                                         ",44055629.77,209047848
"2","ACCOUNTING AND GENERAL SERVICES","ELECTRICITY                                       ",3938119.3,209047848
"3","ACCOUNTING AND GENERAL SERVICES","INSURANCE                                         ",10875353.38,209047848
"4","ACCOUNTING AND GENERAL SERVICES","MACHINERY AND EQUIPMENT                           ",2069381.91,209047848
"5","ACCOUNTING AND GENERAL SERVICES","OFFICE SUPPLIES                                   ",27230,209047848
"6","ACCOUNTING AND GENERAL SERVICES","OTHER CAPITAL OUTLAY                              ",683736.63,209047848
"7","ACCOUNTING AND GENERAL SERVICES","OTHER CURRENT EXPENDITURES                        ",1445872.2,209047848
"8","ACCOUNTING AND GENERAL SERVICES","OTHER GRANTS-IN-AID                               ",716094.08,209047848
"9","ACCOUNTING AND GENERAL SERVICES","OTHER RENTALS                                     ",6359968.38,209047848
"10","ACCOUNTING AND GENERAL SERVICES","POSTAGE                                           ",25000,209047848
"11","ACCOUNTING AND GENERAL SERVICES","RENTAL OF EQUIPMENT                               ",1032312.79,209047848
"12","ACCOUNTING AND GENERAL SERVICES","RENTAL OF LAND AND BUILDING                       ",2865071.78,209047848
"13","ACCOUNTING AND GENERAL SERVICES","REPAIRS AND MAINTENANCE                           ",2953900.43,209047848
"14","ACCOUNTING AND GENERAL SERVICES","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",10233664.87,209047848
"15","ACCOUNTING AND GENERAL SERVICES","TELEPHONE AND TELEGRAPH                           ",764591.77,209047848
"16","ACCOUNTING AND GENERAL SERVICES","WATER                                             ",40032.96,209047848
"17","AGRICULTURE","AGRICULTURAL LOAN REVOLVING FUND LOANS            ",849210.47,49641767
"18","AGRICULTURE","ALL OTHER MACHINERY & EQUIPMENT                   ",30292.67,49641767
"19","AGRICULTURE","LAND                                              ",512955.19,49641767
"20","AGRICULTURE","MOTOR VEHICLES                                    ",122007.25,49641767
"21","AGRICULTURE","OTHR MATERIALS & SUPPLIES- CALLING CARDS          ",128035.04,49641767
"22","AGRICULTURE","R & M, SPECIAL IRRIGATION                         ",135571,49641767
"23","AGRICULTURE","SCIENTIFIC INSTRUMENTS & EQUIPMENT                ",281267.87,49641767
"24","AGRICULTURE","SERVICES-ON-A-FEE BASIS (NOT STATE EMPLOYEE)      ",7787678.56,49641767
"25","ATTORNEY GENERAL","DUES AND SUBSCRIPTIONS                            ",135083,408480
"26","ATTORNEY GENERAL","INTERGOVERNMENTAL GRANTS-IN-AID                   ",2393013.89,408480
"27","ATTORNEY GENERAL","JUDGMENTS AND CLAIMS                              ",313507.66,408480
"28","ATTORNEY GENERAL","MACHINERY AND EQUIPMENT                           ",495980.71,408480
"29","ATTORNEY GENERAL","OTHER CURRENT EXPENDITURES                        ",584165.01,408480
"30","ATTORNEY GENERAL","POSTAGE                                           ",1e+05,408480
"31","ATTORNEY GENERAL","REPAIRS AND MAINTENANCE                           ",807445.04,408480
"32","ATTORNEY GENERAL","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",2556077.39,408480
"33","BUDGET AND FINANCE","INSURANCE                                         ",434602372.22,2316583663
"34","BUDGET AND FINANCE","OTHER CURRENT EXPENDITURES                        ",687343.93,2316583663
"35","BUDGET AND FINANCE","RETIREMENT AND PENSION COST                       ",502379986,2316583663
"36","BUDGET AND FINANCE","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",143335,2316583663
"37","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","ELECTRICITY                                       ",646466.1,355671599
"38","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","MACHINERY AND EQUIPMENT                           ",59817.93,355671599
"39","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","OTHER CURRENT EXPENDITURES                        ",409853.05,355671599
"40","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","OTHER GRANTS-IN-AID                               ",286186,355671599
"41","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","OTHER SUPPLIES                                    ",34220.44,355671599
"42","BUSINESS, ECONOMIC DEVELOPMENT AND TOURISM","PAYMENT FOR INVESTMENTS                           ",7552065.71,355671599
