"","Department","Expense_Category","Expediture_DepCat15","op_sum"
"1","ACCOUNTING AND GENERAL SERVICES","BUILDINGS                                         ",13571697.3,177978039
"2","ACCOUNTING AND GENERAL SERVICES","ELECTRICITY                                       ",4092579.84,177978039
"3","ACCOUNTING AND GENERAL SERVICES","FREIGHT AND DELIVERY CHARGES                      ",96900,177978039
"4","ACCOUNTING AND GENERAL SERVICES","INSURANCE                                         ",12506551.6,177978039
"5","ACCOUNTING AND GENERAL SERVICES","LAND AND LAND IMPROVEMENTS                        ",767264.83,177978039
"6","ACCOUNTING AND GENERAL SERVICES","MACHINERY AND EQUIPMENT                           ",1941154.11,177978039
"7","ACCOUNTING AND GENERAL SERVICES","OTHER CAPITAL OUTLAY                              ",645386.92,177978039
"8","ACCOUNTING AND GENERAL SERVICES","OTHER CURRENT EXPENDITURES                        ",2681128.73,177978039
"9","ACCOUNTING AND GENERAL SERVICES","OTHER GRANTS-IN-AID                               ",359433,177978039
"10","ACCOUNTING AND GENERAL SERVICES","OTHER RENTALS                                     ",476952.09,177978039
"11","ACCOUNTING AND GENERAL SERVICES","PRINTING AND BINDING                              ",31717.79,177978039
"12","ACCOUNTING AND GENERAL SERVICES","RENTAL OF EQUIPMENT                               ",1666272,177978039
"13","ACCOUNTING AND GENERAL SERVICES","RENTAL OF LAND AND BUILDING                       ",2393852.73,177978039
"14","ACCOUNTING AND GENERAL SERVICES","REPAIRS AND MAINTENANCE                           ",1896232.65,177978039
"15","ACCOUNTING AND GENERAL SERVICES","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",16480760.27,177978039
"16","ACCOUNTING AND GENERAL SERVICES","TELEPHONE AND TELEGRAPH                           ",563870.64,177978039
"17","AGRICULTURE","AGRICULTURAL LOAN REVOLVING FUND LOANS            ",1291000,48528729
"18","AGRICULTURE","ALL OTHER MACHINERY & EQUIPMENT                   ",25350,48528729
"19","AGRICULTURE","EDP CONSULTANT SERVICES (NOT STATE)               ",129423.36,48528729
"20","AGRICULTURE","ELECTRICITY                                       ",108129.29,48528729
"21","AGRICULTURE","IRRIGATION MATERIALS & INSTALLATION               ",99733.6,48528729
"22","AGRICULTURE","MOTOR VEHICLES                                    ",28547,48528729
"23","AGRICULTURE","OTHER MISC CURRENT EXPENDITURES                   ",215846.3,48528729
"24","AGRICULTURE","OTHER R & M                                       ",43500,48528729
"25","AGRICULTURE","OTHR MATERIALS & SUPPLIES- CALLING CARDS          ",685364.81,48528729
"26","AGRICULTURE","SCIENTIFIC INSTRUMENTS & EQUIPMENT                ",62430.59,48528729
"27","AGRICULTURE","SERVICES-ON-A-FEE BASIS (NOT STATE EMPLOYEE)      ",5488295.59,48528729
"28","AGRICULTURE","TELEPHONE & TELEGRAPH                             ",34678.14,48528729
"29","ATTORNEY GENERAL","DUES AND SUBSCRIPTIONS                            ",175605.69,111795
"30","ATTORNEY GENERAL","INTERGOVERNMENTAL GRANTS-IN-AID                   ",2823339.65,111795
"31","ATTORNEY GENERAL","JUDGMENTS AND CLAIMS                              ",1259012.44,111795
"32","ATTORNEY GENERAL","MACHINERY AND EQUIPMENT                           ",175745.87,111795
"33","ATTORNEY GENERAL","OTHER CURRENT EXPENDITURES                        ",411708.57,111795
"34","ATTORNEY GENERAL","REPAIRS AND MAINTENANCE                           ",729725.36,111795
"35","ATTORNEY GENERAL","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",939231.46,111795
"36","BUDGET AND FINANCE","AGENCY AND CLEARING ACCOUNTS                      ",436889.31,2158540694
"37","BUDGET AND FINANCE","MACHINERY AND EQUIPMENT                           ",39572.6,2158540694
"38","BUDGET AND FINANCE","OTHER CURRENT EXPENDITURES                        ",513891.39,2158540694
"39","BUDGET AND FINANCE","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",188861.13,2158540694
"40","BUSINESS, ECONOMIC DEVELOPMENT, AND TOURISM","BUILDINGS                                         ",3806677.72,NA
"41","BUSINESS, ECONOMIC DEVELOPMENT, AND TOURISM","ELECTRICITY                                       ",1040016.8,NA
"42","BUSINESS, ECONOMIC DEVELOPMENT, AND TOURISM","OTHER CURRENT EXPENDITURES                        ",307637.68,NA
"43","BUSINESS, ECONOMIC DEVELOPMENT, AND TOURISM","OTHER GRANTS-IN-AID                               ",314712,NA
"44","BUSINESS, ECONOMIC DEVELOPMENT, AND TOURISM","OTHER SUPPLIES                                    ",50666.95,NA
"45","BUSINESS, ECONOMIC DEVELOPMENT, AND TOURISM","PAYMENT FOR INVESTMENTS                           ",1160555.13,NA
"46","BUSINESS, ECONOMIC DEVELOPMENT, AND TOURISM","PAYMENT FOR LOANS                                 ",16389424.39,NA
"47","BUSINESS, ECONOMIC DEVELOPMENT, AND TOURISM","RENTAL OF EQUIPMENT                               ",30164.58,NA
"48","BUSINESS, ECONOMIC DEVELOPMENT, AND TOURISM","RENTAL OF LAND AND BUILDING                       ",520773.17,NA
"49","BUSINESS, ECONOMIC DEVELOPMENT, AND TOURISM","REPAIR AND MAINTENANCE SUPPLIES                   ",57260,NA
"50","BUSINESS, ECONOMIC DEVELOPMENT, AND TOURISM","SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES)",9841764.54,NA
"51","BUSINESS, ECONOMIC DEVELOPMENT, AND TOURISM","WATER                                             ",26314.15,NA
"52","COMMERCE AND CONSUMER AFFAIRS","MACHINERY AND EQUIPMENT                           ",146319.29,56869542
"53","COMMERCE AND CONSUMER AFFAIRS","OTHER CURRENT EXPENDITURES                        ",579940,56869542
"54","COMMERCE AND CONSUMER AFFAIRS","POSTAGE                                           ",40000,56869542
