This dataset has same content as MergedData.csv,,,,,
The proportion of the category expenditure to the total budget approved for each department was computed,,,,,
"Few categories exceeds the approved budget : ATTORNEY GENERAL , GOVERNOR, AND LT GOVERNOR..  ",,,,,
,Department,Expense_Category,TotalExpense,TotalBudget,Proportion
1,ACCOUNTING AND GENERAL SERVICES,BUILDINGS                                         ,13571697.3,177978039,7.63%
2,ACCOUNTING AND GENERAL SERVICES,ELECTRICITY                                       ,4092579.84,177978039,2.30%
3,ACCOUNTING AND GENERAL SERVICES,FREIGHT AND DELIVERY CHARGES                      ,96900,177978039,0.05%
4,ACCOUNTING AND GENERAL SERVICES,INSURANCE                                         ,12506551.6,177978039,7.03%
5,ACCOUNTING AND GENERAL SERVICES,LAND AND LAND IMPROVEMENTS                        ,767264.83,177978039,0.43%
6,ACCOUNTING AND GENERAL SERVICES,MACHINERY AND EQUIPMENT                           ,1941154.11,177978039,1.09%
7,ACCOUNTING AND GENERAL SERVICES,OTHER CAPITAL OUTLAY                              ,645386.92,177978039,0.36%
8,ACCOUNTING AND GENERAL SERVICES,OTHER CURRENT EXPENDITURES                        ,2681128.73,177978039,1.51%
9,ACCOUNTING AND GENERAL SERVICES,OTHER GRANTS-IN-AID                               ,359433,177978039,0.20%
10,ACCOUNTING AND GENERAL SERVICES,OTHER RENTALS                                     ,476952.09,177978039,0.27%
11,ACCOUNTING AND GENERAL SERVICES,PRINTING AND BINDING                              ,31717.79,177978039,0.02%
12,ACCOUNTING AND GENERAL SERVICES,RENTAL OF EQUIPMENT                               ,1666272,177978039,0.94%
13,ACCOUNTING AND GENERAL SERVICES,RENTAL OF LAND AND BUILDING                       ,2393852.73,177978039,1.35%
14,ACCOUNTING AND GENERAL SERVICES,REPAIRS AND MAINTENANCE                           ,1896232.65,177978039,1.07%
15,ACCOUNTING AND GENERAL SERVICES,SERVICES OF FEE BASIS (OTHER THAN STATE EMPLOYEES),16480760.27,177978039,9.26%
16,ACCOUNTING AND GENERAL SERVICES,TELEPHONE AND TELEGRAPH                           ,563870.64,177978039,0.32%
17,AGRICULTURE,AGRICULTURAL LOAN REVOLVING FUND LOANS            ,1291000,48528729,2.66%
18,AGRICULTURE,ALL OTHER MACHINERY & EQUIPMENT                   ,25350,48528729,0.05%
19,AGRICULTURE,EDP CONSULTANT SERVICES (NOT STATE)               ,129423.36,48528729,0.27%
20,AGRICULTURE,ELECTRICITY                                       ,108129.29,48528729,0.22%
21,AGRICULTURE,IRRIGATION MATERIALS & INSTALLATION               ,99733.6,48528729,0.21%
22,AGRICULTURE,MOTOR VEHICLES                                    ,28547,48528729,0.06%
23,AGRICULTURE,OTHER MISC CURRENT EXPENDITURES                   ,215846.3,48528729,0.44%
